,聚类种类,IsActiveStatus,IsActiveAssetStage,CrCardAssetStage,Exited
0,2,3,8,9,1
1,2,5,6,6,1
2,1,2,2,2,1
3,1,0,0,6,1
4,1,0,0,0,1
5,1,2,2,9,1
6,1,1,2,9,1
7,1,2,0,6,1
8,1,1,2,9,1
9,1,0,2,9,1
10,1,0,2,9,1
11,2,5,6,6,1
12,1,0,2,9,1
13,2,5,8,9,1
14,1,0,2,2,1
15,2,4,6,6,1
16,1,2,0,6,1
17,2,5,8,9,1
18,1,2,2,9,1
19,2,3,6,6,1
20,2,4,8,9,1
21,1,2,0,6,1
22,1,1,1,7,1
23,2,5,6,6,1
24,2,3,8,2,1
25,1,0,0,6,1
26,1,0,2,9,1
27,1,0,1,7,1
28,2,3,6,6,1
29,1,2,2,9,1
30,1,1,2,2,1
31,1,2,2,2,1
32,2,5,8,9,1
33,1,2,0,6,1
34,1,1,2,9,1
35,1,1,2,9,1
36,1,2,0,0,1
37,1,0,2,2,1
38,1,2,2,2,1
39,1,2,2,9,1
40,1,0,2,9,1
41,1,2,2,2,1
42,1,2,2,9,1
43,2,3,8,9,1
44,2,5,8,2,1
45,1,2,2,9,1
46,1,2,0,0,1
47,2,5,8,9,1
48,1,0,0,6,1
49,1,2,2,9,1
50,1,2,2,9,1
51,1,0,2,9,1
52,1,2,1,2,1
53,1,0,2,9,1
54,1,2,0,0,1
55,1,1,1,2,1
56,2,3,6,6,1
57,1,0,2,2,1
58,1,0,0,0,1
59,1,0,2,2,1
60,1,2,2,9,1
61,2,5,8,2,1
62,1,1,2,2,1
63,2,5,8,2,1
64,2,3,8,2,1
65,1,1,2,9,1
66,1,0,2,9,1
67,1,0,2,9,1
68,1,0,2,9,1
69,1,1,0,6,1
70,2,5,6,6,1
71,2,4,8,9,1
72,1,0,0,6,1
73,1,0,1,2,1
74,2,3,7,7,1
75,1,2,1,7,1
76,1,1,2,9,1
77,2,3,8,9,1
78,1,0,2,9,1
79,2,4,8,2,1
80,2,3,8,9,1
81,2,3,8,9,1
82,1,2,2,9,1
83,1,0,2,9,1
84,2,4,8,2,1
85,1,2,1,2,1
86,1,1,2,9,1
87,2,4,8,9,1
88,2,5,7,7,1
89,2,3,8,9,1
90,1,1,2,9,1
91,2,5,8,9,1
92,1,1,2,9,1
93,1,2,2,2,1
94,2,3,6,6,1
95,1,0,2,9,1
96,1,1,1,7,1
97,2,3,6,0,1
98,1,0,2,9,1
99,2,3,8,2,1
100,2,5,6,0,1
101,1,0,2,9,1
102,2,4,6,0,1
103,2,3,8,2,1
104,1,0,2,9,1
105,1,0,0,6,1
106,1,0,1,7,1
107,1,2,2,9,1
108,1,1,2,2,1
109,1,2,2,9,1
110,2,3,8,2,1
111,1,1,2,9,1
112,2,3,6,0,1
113,1,1,0,6,1
114,1,1,2,2,1
115,1,1,2,2,1
116,1,1,0,6,1
117,1,2,2,9,1
118,2,4,8,9,1
119,1,1,1,7,1
120,2,5,8,2,1
121,1,2,2,2,1
122,1,1,1,2,1
123,1,1,0,6,1
124,2,3,7,2,1
125,1,0,1,7,1
126,1,0,2,2,1
127,1,1,2,9,1
128,1,2,2,2,1
129,2,5,8,9,1
130,1,0,0,6,1
131,1,2,0,6,1
132,1,1,0,6,1
133,1,1,2,2,1
134,1,2,2,2,1
135,2,5,8,9,1
136,1,1,0,6,1
137,1,1,0,6,1
138,1,0,2,9,1
139,1,0,0,6,1
140,1,1,2,2,1
141,2,3,8,9,1
142,1,1,1,7,1
143,1,1,2,9,1
144,1,2,0,0,1
145,1,2,2,9,1
146,1,1,2,9,1
147,1,1,2,9,1
148,2,5,8,2,1
149,1,2,2,9,1
150,1,2,0,0,1
151,2,5,8,2,1
152,1,0,2,9,1
153,1,2,2,9,1
154,1,2,2,9,1
155,1,1,0,0,1
156,2,5,6,6,1
157,2,4,8,2,1
158,1,0,0,6,1
159,2,4,6,0,1
160,1,0,0,6,1
161,2,4,7,2,1
162,1,1,0,0,1
163,1,0,2,2,1
164,1,0,2,2,1
165,2,4,8,9,1
166,1,0,2,9,1
167,1,2,1,7,1
168,1,1,2,9,1
169,2,3,8,9,1
170,1,0,0,6,1
171,1,2,2,9,1
172,1,0,2,2,1
173,2,4,7,7,1
174,1,2,2,9,1
175,1,0,2,9,1
176,1,0,2,9,1
177,1,1,1,7,1
178,2,3,8,2,1
179,1,2,2,2,1
180,2,3,8,9,1
181,2,3,8,9,1
182,1,1,0,6,1
183,1,2,0,0,1
184,1,1,0,0,1
185,1,1,2,9,1
186,2,5,8,2,1
187,2,3,8,2,1
188,2,3,8,2,1
189,1,1,0,0,1
190,1,2,2,9,1
191,1,1,0,6,1
192,2,4,8,9,1
193,1,1,2,2,1
194,1,0,0,6,1
195,1,1,2,9,1
196,1,0,2,9,1
197,2,4,6,0,1
198,2,3,8,9,1
199,1,1,2,9,1
200,1,2,2,9,1
201,1,2,0,0,1
202,1,2,2,2,1
203,2,5,8,9,1
204,1,2,2,9,1
205,1,1,0,6,1
206,1,1,2,2,1
207,1,1,2,9,1
208,1,1,0,0,1
209,2,5,6,6,1
210,1,1,2,9,1
211,2,3,7,2,1
212,1,1,2,9,1
213,2,3,8,9,1
214,1,2,0,6,1
215,2,3,8,2,1
216,2,3,8,9,1
217,2,5,7,7,1
218,1,0,2,2,1
219,1,2,2,9,1
220,1,2,2,9,1
221,1,0,2,2,1
222,1,2,0,0,1
223,1,2,2,9,1
224,1,1,0,6,1
225,2,3,8,9,1
226,1,0,0,6,1
227,1,1,2,9,1
228,2,5,6,6,1
229,1,0,1,7,1
230,2,3,8,9,1
231,1,1,2,9,1
232,2,4,8,2,1
233,2,4,8,2,1
234,1,1,2,2,1
235,1,0,0,0,1
236,1,1,0,0,1
237,1,0,0,0,1
238,2,3,8,9,1
239,2,4,8,2,1
240,2,3,6,6,1
241,1,1,2,9,1
242,1,2,2,9,1
243,1,1,2,2,1
244,2,4,8,9,1
245,2,4,7,2,1
246,1,1,2,2,1
247,2,3,8,9,1
248,2,4,7,7,1
249,1,1,2,9,1
250,2,5,8,9,1
251,2,3,8,9,1
